;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
86;Como Treinar o seu Dragão 2;05/06/2014;7.7;9949;409.043;en;Cinco anos após convencer os habitantes de seu vilarejo que os dragões não devem ser combatidos, Soluço convive com seu dragão Fúria da Noite, e estes animais integraram pacificamente a rotina dos moradores da ilha de Berk. Entre viagens pelos céus e corridas de dragões, Soluço descobre uma caverna secreta, onde centenas de novos dragões vivem. O local é protegido por Valka, mãe de Soluço, que foi afastada do filho quando ele ainda era um bebê. Juntos, eles precisarão proteger o mundo que conhecem do perigoso Drago Bludvist, que deseja controlar todos os dragões existentes.
87;Round 6: Temporada 2 - Making Of;02/01/2025;8.5;425;403.016;ko;Dos detalhes dos cenários aos arcos dos personagens: confira entrevistas com o elenco e o diretor sobre os bastidores da segunda temporada da série mais vista do mundo.
88;365 Dias: Hoje;26/04/2022;5.91;1746;421.937;pl;"Em 365 Dias: Hoje, após os acontecimentos de 365 Dias, Laura Biel se casa com Don Massimo, o chefe da máfia siciliana que a sequestrou. Sua vida parece um conto de fadas: ela tem um marido amoroso, uma casa linda e um bebê a caminho. Mas Massimo tem muitos inimigos, e eles sabem que a melhor maneira de lhe causar dor é ferir aqueles que ama. Depois de um mal-entendido conjugal, Laura e sua melhor amiga, Olga, fogem da Sicília para a Polônia natal. Mas sem a proteção do marido, Laura é sequestrada por Marcelo ""Nacho"" Matos, filho do chefe da máfia rival, e levada para as Ilhas Canárias pela máfia espanhola. Agora Massimo moverá qualquer montanha para resgatá-la. Mas o que o chefe da máfia siciliana não espera é que Laura começa a ter sentimentos pelo seu raptor, lindo e extremamente perigoso, enquanto é mantida refém."
89;Angels Fallen: Warriors of Peace;09/07/2024;4.8;17;1.968.523;en;
90;Meu Malvado Favorito 4;20/06/2024;7.0;2851;40.331;en;Nesta sequência, o vilão mais amado do planeta retorna e agora Gru, Lucy, Margo, Edith e Agnes dão as boas-vindas a um novo membro da família: Gru Jr., que pretende atormentar seu pai. Enquanto se adapta com o pequeno, Gru enfrenta um novo inimigo, Maxime Le Mal, forçando sua namorada Valentina e a família a fugir do perigo.
91;Довбуш;24/08/2023;7.214;28;378.798;uk;
92;My Massive Cock;24/10/2022;6.222;9;345.987;en;
93;Kayara - A Princesa Inca;02/01/2025;7.6;83;409.343;en;Uma jovem garota sonha em se juntar ao grupo de mensageiros do Império Inca, composto somente por homens. Ela desafia tradições e normas de gênero para perseguir sua ambição contra todas as probabilidades.
94;La coda del diavolo;25/07/2024;5.9;39;453.469;it;
95;Interestelar;05/11/2014;8.458;37487;38.436;en;As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.
96;Até a Última Gota;05/06/2025;7.9;749;374.962;en;Até onde ela vai aguentar? Após um dia devastador, uma mãe solo dedicada chega ao seu limite e comete um ato de desespero que ninguém poderia prever.
97;Sorority;20/06/2025;6.5;2;390.305;tl;
98;Elio;18/06/2025;6.818;200;385.684;en;Elio, um garoto oprimido com uma imaginação fértil, acaba sendo transportado acidentalmente para o Comuniverso. Identificado por engano como o embaixador da Terra para o resto do universo, Elio precisará formar novos laços com excêntricas formas de vida alienígenas, sobreviver a uma série de tribulações terríveis e, de alguma forma, descobrir quem ele realmente está destinado a ser.
99;A Substância;07/09/2024;7.14;4865;380.194;en;Uma estrela em declínio descobre uma substância misteriosa que lhe permite criar uma versão mais jovem e perfeita de si mesma. No entanto, o que parece ser uma solução milagrosa para recuperar sua glória logo se transforma em um pesadelo perturbador quando as consequências desta decisão começam a se manifestar de formas sombrias e irreversíveis.
100;Força Bruta: Punição;24/04/2024;7.031;178;366.004;ko;O detetive Ma Seok-do se junta à Equipe de Investigação Cibernética para prender Baek Chang-ki, um ex-mercenário e chefe de uma organização de jogos de azar online.
101;异人之下;26/07/2024;6.167;12;371.773;zh;
102;Mufasa: O Rei Leão;18/12/2024;7.371;2271;371.352;en;Acompanhe a história épica da ascensão improvável do amado rei das Terras do Reino. Órfão e sozinho, Mufasa se perde até encontrar Taka, herdeiro de uma linhagem real. Isso dá início a uma jornada épica que testa os laços entre os dois enquanto enfrentam um inimigo mortal.
103;Kung Fu Panda 4;02/03/2024;7.055;3147;367.954;en;Po está prestes a se tornar o novo líder espiritual do Vale da Paz, mas antes que possa fazer isso, ele deve encontrar um sucessor para se tornar o novo Dragão Guerreiro.  Ele parece encontrar uma em Zhen, uma raposa com muitas habilidades promissoras, mas que não gosta muito da ideia de Po treiná-la.
104;Minha Culpa: Londres;12/02/2025;7.5;429;367.298;en;Noah, de 18 anos, se muda dos EUA para Londres com a mãe, que recentemente se apaixonou por William, um rico empresário britânico. Noah conhece o filho de William, o bad boy Nick, e logo descobre uma atração que nenhum dos dois consegue evitar. Enquanto Noah passa o verão tentando se ajustar à nova vida, seu passado devastador a atingirá em cheio justo quando se apaixona pela primeira vez.
105;Força Bruta: Punição;24/04/2024;7.031;178;366.004;ko;O detetive Ma Seok-do se junta à Equipe de Investigação Cibernética para prender Baek Chang-ki, um ex-mercenário e chefe de uma organização de jogos de azar online.
106;缉恶;18/07/2024;6.75;8;358.298;zh;
107;Como Treinar o Seu Dragão 3;03/01/2019;7.751;6716;355.858;en;Decidido a fazer de Berk um verdadeiro libelo ao ideal da convivência pacífica entre homens e dragões, Soluço e seus amigos seguem atrás de caçadores, para não só libertar suas presas mas também impedir a matança desenfreada dos animais. O esforço do grupo desperta a atenção de Grimmel ao descobrir que entre eles está Banguela, um legítimo Fúria da Noite. O vilão então desenvolve um plano para capturá-lo a todo custo, usando como arma uma fêmea capturada, da mesma espécie.
108;Harry Potter e a Pedra Filosofal;16/11/2001;7.902;28408;352.437;en;Harry Potter é um garoto órfão que vive infeliz com seus tios, os Dursley. Em seu aniversário de 11 anos ele recebe uma carta que mudará sua vida: um convite para ingressar em Hogwarts.
109;Victoria;16/01/2021;8.5;2;351.438;en;
110;Animais Perigosos;05/06/2025;6.8;28;346.434;en;Uma surfista esperta e de espírito livre (Hassie Harrison) é sequestrada por um serial killer obcecado por tubarões (Jai Courtney). Mantida em cativeiro em seu barco, ela precisa descobrir como escapar antes que ele realize um ritual para alimentar os tubarões lá embaixo.
111;My Massive Cock;24/10/2022;6.222;9;345.987;en;
112;Nas Terras Perdidas;27/02/2025;6.5;551;343.326;en;Uma rainha, desesperada para ganhar o dom da mudança de forma, toma uma atitude ousada: contrata a feiticeira Gray Alys, uma mulher tão temida quanto poderosa. Enviada para a selva fantasmagórica das Terras Perdidas, Alys e seu guia, o andarilho Boyce, devem enganar e lutar contra o homem e o diabo em uma fábula que explora a natureza do bem e do mal, da dívida e da satisfação, do amor e da perda.
113;新婚シリーズ　最初が肝心;07/02/1962;10.0;1;34.298;ja;
114;Robô Selvagem;12/09/2024;8.316;5187;338.997;en;Um robô – unidade ROZZUM 7134, abreviadamente “Roz” – naufraga em uma ilha desabitada e deve aprender a se adaptar ao ambiente hostil, gradualmente construindo relacionamentos com os animais da ilha e se tornando o pai adotivo de um filhote de ganso órfão.
115;Conversando sobre Round 6;26/06/2025;8.3;7;336.529;ko;Assista à conversa com o diretor e o elenco de Round 6. Reviva momentos marcantes e ouça histórias inéditas sobre tudo o que viveram juntos.
116;A Fanfarra;27/11/2024;7.382;304;335.676;fr;
117;Jurassic World: O Mundo dos Dinossauros;06/06/2015;6.7;20858;33.186;en;Vinte e dois anos depois dos acontecimentos em Jurassic Park, a Isla Nublar foi transformada num enorme parque temático bem sucedido, o Jurassic Wold, com versões “domesticadas” de alguns dos dinossauros mais conhecidos. Quando tudo parece correr bem e ser o negócio do século, um novo dinossauro de espécie desconhecida, por ter sido criado através da manipulação genética de seu DNA, e que se revela muito mais inteligente do que se pensava, escapa de seu confinamento e começa a causar estragos entre os visitantes do Parque.
118;Demon Slayer: Mugen Train - O Filme;16/10/2020;8.205;4132;331.437;ja;Tanjiro Kamado, junto com Inosuke Hashibira, um garoto criado por javalis que usa uma cabeça de javali, e Zenitsu Agatsuma, um garoto assustado que revela seu verdadeiro poder quando dorme, embarca no Trem Infinito em uma nova missão com o Hashira de Fogo, Kyojuro Rengoku, para derrotar um demônio que tem atormentado o povo e matado os caçadores de oni que se opõem a ele!
119;Venom: A Última Rodada;22/10/2024;6.7;3580;328.776;en;Eddie e Venom estão fugindo. Perseguidos pelos dois mundos, a dupla é forçada a tomar uma decisão devastadora que vai fechar as cortinas da última rodada de Venom e Eddie.
120;Gladiador 2;13/11/2024;6.684;3674;328.684;en;Anos depois de testemunhar a trágica morte do reverenciado herói Maximus nas mãos de seu tio malvado, Lucius se vê forçado a lutar no Coliseu depois que sua terra natal é conquistada por dois imperadores tirânicos, que agora governam Roma. Com o coração ardendo de raiva e o destino do Império pendurado por um fio, Lucius deve enfrentar perigos e inimigos, redescobrindo em seu passado a força e a honra necessárias para trazer a glória de Roma de volta ao seu povo. Prepare-se para uma jornada épica de coragem e vingança na sangrenta arena do Coliseu.
121;Hell of a Summer;03/04/2025;5.627;63;306.679;en;
122;Jurassic World: Reino Ameaçado;06/06/2018;6.541;12202;30.729;en;Quatro anos após o fechamento do Jurassic World, um vulcão prestes a entrar em erupção põe em risco a vida na ilha Nublar. No local não há mais qualquer presença humana, com os dinossauros vivendo livremente. Diante da situação, é preciso tomar uma decisão: deve-se retornar à ilha para salvar os animais ou abandoná-los para uma nova extinção? Decidida a resgatá-los, Claire convoca Owen a retornar à ilha com ela.
123;부부 교환 - 무삭제;16/03/2023;9.5;2;305.397;ko;
124;Anora;14/10/2024;7.042;2419;309.166;en;Anora, uma jovem profissional do sexo que trabalha nas noites do Brooklyn, pode se tornar a Cinderela da sua própria história quando encontra e casa, por impulso, com o filho de um oligarca russo. Mas quando a notícia chega à Rússia, seu conto de fadas fica ameaçado com a chegada dos pais dele a Nova York para cancelar o casamento.
125;Titanic;18/11/1997;7.906;26160;313.791;en;Um artista pobre e uma jovem rica se conhecem e se apaixonam na fatídica jornada do Titanic, em 1912. Embora esteja noiva do arrogante herdeiro de uma siderúrgica, a jovem desafia sua família e amigos em busca do verdadeiro amor.
126;Os Vingadores: The Avengers;25/04/2012;7.777;32455;321.274;en;Loki, o irmão de Thor, ganha acesso ao poder ilimitado do cubo cósmico ao roubá-lo de dentro das instalações da S.H.I.E.L.D. Nick Fury, o diretor desta agência internacional que mantém a paz, logo reúne os únicos super-heróis que serão capazes de defender a Terra de ameaças sem precedentes. Homem de Ferro, Capitão América, Hulk, Thor, Viúva Negra e Gavião Arqueiro formam o time dos sonhos de Fury, mas eles precisam aprender a colocar os egos de lado e agir como um grupo em prol da humanidade.
127;Demon Slayer: Mugen Train - O Filme;16/10/2020;8.205;4132;331.437;ja;Tanjiro Kamado, junto com Inosuke Hashibira, um garoto criado por javalis que usa uma cabeça de javali, e Zenitsu Agatsuma, um garoto assustado que revela seu verdadeiro poder quando dorme, embarca no Trem Infinito em uma nova missão com o Hashira de Fogo, Kyojuro Rengoku, para derrotar um demônio que tem atormentado o povo e matado os caçadores de oni que se opõem a ele!
128;Detetive Chinatown: O Mistério de 1900;29/01/2025;6.4;71;317.855;zh;Chinatown, São Francisco, 1900. A filha de um congressista que odeia imigrantes asiáticos é assassinada e o principal suspeito é o filho de Bai Xuanling, homem de grande influência no bairro chinês. O crime revolta e joga a população da cidade contra os chineses, exigindo o fechamento do distrito. Para tentar salvar o filho e evitar a perseguição a seu povo, Bai Xuanling recorre ao jovem “mestre do raciocínio” Qin Fu, que se associa a Ah Gui, homem que chegou à cidade para vingar seu pai adotivo. Juntos, os dois tentam descobrir o que realmente aconteceu.
129;K.O.;05/06/2025;6.587;196;301.629;fr;Um ex-lutador precisa encontrar o filho desaparecido de um adversário que matou acidentalmente há vários anos. Para isso, ele vai ter que encarar uma gangue violenta.
130;A Fanfarra;27/11/2024;7.382;304;335.676;fr;
131;Ne Zha 2: O Renascer da Alma;29/01/2025;8.1;186;316.149;zh;Após uma grande catástrofe, as almas de Ne Zha e Ao Bing são salvas, mas seus corpos enfrentam a ruína. Para lhes dar uma nova vida, Taiyi Zhenren recorre à mística lótus de sete cores em uma ousada tentativa de reconstruí-los e mudar seus destinos.
132;Gladiador 2;13/11/2024;6.685;3673;328.684;en;Anos depois de testemunhar a trágica morte do reverenciado herói Maximus nas mãos de seu tio malvado, Lucius se vê forçado a lutar no Coliseu depois que sua terra natal é conquistada por dois imperadores tirânicos, que agora governam Roma. Com o coração ardendo de raiva e o destino do Império pendurado por um fio, Lucius deve enfrentar perigos e inimigos, redescobrindo em seu passado a força e a honra necessárias para trazer a glória de Roma de volta ao seu povo. Prepare-se para uma jornada épica de coragem e vingança na sangrenta arena do Coliseu.
133;Until Dawn: Noite de Terror;23/04/2025;6.566;830;313.161;en;Um ano após o misterioso desaparecimento de sua irmã Melanie, Clover e seus amigos partem para o vale remoto onde o desaparecimento aconteceu em busca de respostas. Ao explorarem um centro de visitantes abandonado, eles acabam sendo caçados por um assassino mascarado e mortos brutalmente um a um... apenas para acordarem no dia seguinte e se encontrarem novamente no começo da mesma tarde. Presos no vale, eles são forçados a reviverem a mesma noite de novo e de novo, com a única mudança sendo a ameaça assassina, cada vez mais assustadora que a última. Com as esperanças no fim, o grupo logo percebe que eles têm apenas mais um limitado número de mortes disponível, e que a única maneira de escaparem é se sobreviverem até o amanhecer.
134;Nudus;11/04/2024;4.0;1;1.013.159;es;
135;Alguém Especial como Você;11/07/2025;7.1;9;309.066;hi;Shrirenu segue as tradições. Madhu é livre, leve e solta. Quando os dois se encontram, começa um romance fofo, mas meio desajeitado e marcado pelo patriarcado.
136;Ligaw;09/05/2025;7.5;2;29.736;tl;
137;Velozes & Furiosos 10;17/05/2023;7.0;5963;32.382;en;O fim da estrada está chegando. Velozes & Furiosos 10, é o décimo filme da franquia Velozes & Furiosos, lança os capítulos finais de uma grande saga, uma das mais famosas e populares do cinema, agora com sua terceira década e ainda mais forte. Com o mesmo elenco e personagens principais de quando começou. Ao longo de muitas missões e lutando contra todos os obstáculos impossíveis, Dom Toretto (Vin Diesel) e sua família foram mais espertos, mais furiosos e mais rápidos do que todos os inimigos em seu caminho. Agora, eles enfrentam o seu oponente mais letal: uma ameaça terrível das sombras do passado, alimentada por sede de vingança e determinada a destruir esta família.
138;Kraven: O Caçador;11/12/2024;6.5;1877;287.438;en;Sergei Kravinoff é um grande caçador, que toma um soro mágico que lhe dá habilidades sobre-humanas e uma vida mais longa.
139;Mulher-Maravilha;30/05/2017;7.2;20335;31.659;en;Treinada desde cedo para ser uma guerreira imbatível, Diana Prince nunca saiu da paradisíaca ilha em que é reconhecida como Princesa das Amazonas. Quando o piloto Steve Trevor se acidenta e cai numa praia do local, ela descobre que uma guerra sem precedentes está se espalhando pelo mundo e decide deixar seu lar certa de que pode parar o conflito. Lutando para acabar com todas as lutas, Diana percebe o alcance de seus poderes e sua verdadeira missão na Terra.
140;Snow White;07/03/2025;7.176;17;282.257;en;
141;Peça-me o Que Quiser;29/11/2024;6.216;227;290.479;es;Após a morte de seu pai, Eric Zimmerman viaja para a Espanha para supervisionar as filiais de sua empresa. Em Madri, ele se apaixona por Judith e se envolve em um relacionamento intenso e erótico cheio de exploração. Eric teme que seu segredo possa acabar com o caso deles.
142;罗小黑战记 2;18/07/2025;8.6;8;289.273;zh;
143;Kraven: O Caçador;11/12/2024;6.5;1877;287.438;en;Sergei Kravinoff é um grande caçador, que toma um soro mágico que lhe dá habilidades sobre-humanas e uma vida mais longa.
144;ليل;07/09/2024;10.0;3;285.628;ar;
145;Seeds;25/10/2024;5.864;11;28.372;en;
146;O Homem de Aço;12/06/2013;6.633;15539;283.326;en;Um garoto descobre que não é deste planeta e que tem poderes extraordinários. Quando se torna adolescente, viaja para descobrir de onde veio e para o quê foi enviado a fazer. Mas o herói nele deve emergir se quiser salvar o mundo da aniquilação e se tornar o símbolo de esperança para toda a humanidade.
147;Snow White;07/03/2025;7.176;17;282.257;en;
148;Avatar: Fogo e Cinzas;17/12/2025;0.0;0;280.967;en;Após a devastadora guerra contra a RDA e a perda de seu filho mais velho, Jake Sully e Neytiri enfrentam uma nova ameaça em Pandora: o Povo das Cinzas, uma tribo Na'vi violenta e sedenta por poder, liderada pelo implacável Varang. A família de Jake deve lutar por sua sobrevivência e pelo futuro de Pandora em um conflito que os leva aos seus limites emocionais e físicos.
149;Batman;01/03/2022;7.659;11063;280.459;en;Em seu segundo ano de combate ao crime, Batman descobre corrupção em Gotham City que se conecta à sua própria família enquanto enfrenta um serial killer conhecido como Charada.
150;Oppenheimer;19/07/2023;8.056;10468;277.686;en;A história do físico americano J. Robert Oppenheimer, seu papel no Projeto Manhattan e no desenvolvimento da bomba atômica durante a Segunda Guerra Mundial, e o quanto isso mudaria a história do mundo para sempre.
151;Ainda Sou uma Superstar;17/07/2025;6.5;6;275.688;es;Este documentário analisa a ascensão meteórica de Yurena como Tamara, os escândalos na mídia na década de 2000 e as vidas atuais de seus rivais.
152;Flow;29/08/2024;8.17;2136;274.637;lv;Gato é um animal solitário, mas quando seu lar é destruído por uma grande inundação, ele encontra refúgio em um barco habitado por diversas espécies, tendo que se juntar a elas apesar das diferenças.
153;Vanished Out of Sight;19/06/2025;5.5;2;273.725;en;
154;Barbie;18/06/2023;6.971;10107;27.341;en;"No mundo mágico das Barbies, ""Barbieland"", uma das bonecas começa a perceber que não se encaixa como as outras. Depois de ser expulsa, ela parte para uma aventura no ""mundo real"", onde descobre que a beleza está no interior de cada um."
155;Maze Runner: Correr ou Morrer;10/09/2014;7.191;17445;270.747;en;Num cenário pós-apocalíptico, uma comunidade de rapazes descobre que estão presos num labirinto misterioso. Juntos, terão de descobrir como escapar, resolver o enigma e revelar o arrepiante segredo acerca de quem os colocou ali e por que razão.
156;O Poderoso Chefão;14/03/1972;8.687;21638;270.321;en;Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.
157;John Wick 4: Baba Yaga;22/03/2023;7.724;7228;270.303;en;Com o preço por sua cabeça cada vez maior, John Wick leva sua luta contra a alta mesa global enquanto procura os jogadores mais poderosos do submundo, de Nova York a Paris, de Osaka a Berlim.
158;Homem-Aranha: Sem Volta Para Casa;15/12/2021;7.943;20920;268.315;en;Peter Parker é desmascarado e não consegue mais separar sua vida normal dos grandes riscos de ser um super-herói. Quando ele pede ajuda ao Doutor Estranho, os riscos se tornam ainda mais perigosos, e o forçam a descobrir o que realmente significa ser o Homem-Aranha...
159;À Espera de um Milagre;10/12/1999;8.504;18219;26.755;en;Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.
160;Vingadores: Guerra Infinita;25/04/2018;8.236;30746;267.123;en;Homem de Ferro, Thor, Hulk e os Vingadores se unem para combater seu inimigo mais poderoso, o maligno Thanos. Em uma missão para coletar todas as seis pedras infinitas, Thanos planeja usá-las para infligir sua vontade maléfica sobre a realidade.
161;Sovereign;11/07/2025;6.738;21;211.353;en;Pai e filho, que se identificam como Cidadãos Soberanos, um grupo de extremistas antigovernamentais, se veem em um impasse com um chefe de polícia, o que dá início a uma caçada humana.
162;Peça-me o Que Quiser;29/11/2024;6.216;227;290.479;es;Após a morte de seu pai, Eric Zimmerman viaja para a Espanha para supervisionar as filiais de sua empresa. Em Madri, ele se apaixona por Judith e se envolve em um relacionamento intenso e erótico cheio de exploração. Eric teme que seu segredo possa acabar com o caso deles.
163;O Poderoso Chefão;14/03/1972;8.687;21638;270.321;en;Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.
164;Mickey 17;28/02/2025;6.883;2419;260.757;en;Mickey faz parte de um programa espacial de colonização e sempre é enviado para missões perigosas, quase suicidas. Se morrer, ele é clonado e boa parte de suas memórias são recuperadas. Mas, após seis mortes, ele começa a entender o porquê de seu cargo nunca ter sido ocupado antes.
165;Homem-Aranha: Sem Volta Para Casa;15/12/2021;7.9;20919;268.315;en;Peter Parker é desmascarado e não consegue mais separar sua vida normal dos grandes riscos de ser um super-herói. Quando ele pede ajuda ao Doutor Estranho, os riscos se tornam ainda mais perigosos, e o forçam a descobrir o que realmente significa ser o Homem-Aranha...
166;Ainda Sou uma Superstar;17/07/2025;6.5;6;275.688;es;Este documentário analisa a ascensão meteórica de Yurena como Tamara, os escândalos na mídia na década de 2000 e as vidas atuais de seus rivais.
167;Um Sonho de Liberdade;23/09/1994;8.712;28570;259.339;en;Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton, o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding, um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição.
